26,נטר 40
46,פישל אהרן 29
54,מלכי ישראל 57
62,עזרה תורה 45
87,הקרן הקיימת 14
120,שמעון הצדיק 23
134,יצחק אלחנן 4
203,נרקיס 11
999,מקום שלא קיים
